origin_airport,dest_airport,distance,totdepartures,totpassengers,totfreight,totmail,totdepartures_cat,totpassengers_cat
MYF,BUR,119,1,0,0,0,1.0,1.0
NTD,SJC,274,1,156,0,0,1.0,1.0
NZY,SJC,418,0,0,0,0,1.0,1.0
OAK,BFL,236,1,53,0,0,1.0,1.0
OAK,BUR,325,4007,422003,262744,0,7.0,7.0
OAK,CLG,151,12,0,22032,0,1.0,1.0
OAK,FAT,153,13,0,20215,0,1.0,1.0
OAK,LAX,337,7460,564820,42694633,0,8.0,8.0
OAK,LGB,353,1089,128486,20278,0,3.0,4.0
OAK,ONT,362,2914,259157,27028885,174318,6.0,5.0
OAK,PSP,418,4,314,0,0,1.0,1.0
OAK,PTV,210,3,0,5953,0,1.0,1.0
OAK,QQN,195,19,0,36671,0,1.0,1.0
OAK,SAN,446,4054,410736,8509282,0,7.0,7.0
OAK,SBA,263,4,7,0,0,1.0,1.0
OAK,SMO,332,1,1,0,0,1.0,1.0
OAK,SMX,218,3,0,0,0,1.0,1.0
OAK,SNA,371,2693,326028,109494,0,6.0,6.0
OAK,VIS,184,773,0,1547334,0,3.0,1.0
OAK,VNY,320,4,1,0,0,1.0,1.0
ONT,BFL,126,673,8,1283020,0,3.0,1.0
ONT,BIH,233,204,0,294107,0,1.0,1.0
ONT,FAT,222,194,0,5290317,0,1.0,1.0
ONT,IYK,111,260,0,397880,0,2.0,1.0
ONT,MHR,372,224,0,10966069,137982,1.0,1.0
ONT,MRY,296,1,46,0,0,1.0,1.0
ONT,OAK,362,2898,260556,32769043,94015,6.0,5.0
ONT,PRB,205,3,0,6087,0,1.0,1.0
ONT,RDD,514,2,91,0,0,1.0,1.0
ONT,SBA,131,529,0,3482828,0,2.0,1.0
ONT,SBP,191,579,0,1116078,0,2.0,1.0
ONT,SFO,363,2365,103273,0,0,5.0,3.0
ONT,SJC,333,1436,147243,194993,0,4.0,4.0
ONT,SMF,390,2205,247804,359378,6700,5.0,5.0
ONT,SMX,173,545,0,1058729,0,2.0,1.0
ONT,SQA,146,1,0,2261,0,1.0,1.0
PSP,APC,442,1,2,0,0,1.0,1.0
PSP,BFL,183,3,52,0,0,1.0,1.0
PSP,BUR,109,7,2,0,0,1.0,1.0
PSP,FAT,272,3,0,0,0,1.0,1.0
PSP,LAX,110,772,23344,0,0,3.0,2.0
PSP,OAK,418,1,7,0,0,1.0,1.0
PSP,SBA,196,2,0,0,0,1.0,1.0
PSP,SFO,421,2335,166398,404361,0,5.0,4.0
PSP,SMF,439,1,0,0,0,1.0,1.0
PSP,SMX,238,1,0,0,0,1.0,1.0
PSP,VNY,117,1,0,0,0,1.0,1.0
RDD,ACV,101,5,164,0,0,1.0,1.0
RDD,CEC,134,1,0,810,0,1.0,1.0
RDD,MRY,272,2,0,0,0,1.0,1.0
RDD,ONT,514,2,47,0,0,1.0,1.0
RDD,SFO,199,772,28972,0,0,3.0,2.0
RDD,SMF,131,516,0,904887,0,2.0,1.0
RDD,SMX,400,1,100,0,0,1.0,1.0
SAN,BUR,122,824,3048,0,0,3.0,1.0
SAN,C01,150,1,6,0,0,1.0,1.0
SAN,FAT,314,673,38921,976,0,3.0,2.0
SAN,LAX,109,6827,357915,401025,201,8.0,6.0
SAN,MHR,463,2,9,0,0,1.0,1.0
SAN,MMH,350,64,3009,1,0,1.0,1.0
SAN,MRY,375,354,21594,879,0,2.0,2.0
SAN,OAK,446,4010,417261,8624078,0,7.0,7.0
SAN,SBA,192,3,109,0,0,1.0,1.0
SAN,SFO,447,7459,809063,331113,126247,8.0,9.0
SAN,SJC,417,3263,373533,95113,0,6.0,6.0
SAN,SMF,480,3025,361542,174215,0,6.0,6.0
SAN,SMO,115,3,14,0,0,1.0,1.0
SAN,STS,508,362,24269,835,0,2.0,2.0
SAN,VCV,129,0,0,0,0,1.0,1.0
SAN,VIS,277,3,24,0,0,1.0,1.0
SAN,VNY,126,1,0,0,0,1.0,1.0
SAN,VWD,283,1,2,0,0,1.0,1.0
SBA,FAT,162,3,65,0,0,1.0,1.0
